Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Yellow 1,7.25,268,Books about books,Wistful,
Yellow 1,8,232,Nonfiction/autobiography ,Excited,Didion
Brown 1,8,220,Fiction/modern,Introspective,De beauvior
Yellow 2,8,240,Nonfiction/essay,Ambivalent,Didion
Black,8,320,Nonfiction/essay,Ambivalent,Didion
Blue 2,8,238,Nonfiction/essay,Introspective,Didion
Purple 1,8,224,Nonfiction/essay,Introspective,Didion
Blue 2,7.75,214,Fiction/modern classic,Excited? Relevant?,Didion
Black,7.75,430,Nonfiction/essay,Affectionate,Steinbeck 
Red 3,8.25,310,Fiction/children's ,Introspective,LM Montgomery 
,,,,,
White,8,190,Fiction/modern,Relevant ,
Blue 3,8,144,Fiction/contemporary ,Affectionate,
White,8,152,Poetry,Affectionate,Stevie Smith
White,8,256,Fiction/modern,Wistful,Stevie Smith
Green 3,7.75,232,Fiction/modern,Huh,Stevie Smith
Blue 1,7.75,230,Fiction/children's ,Cringestalgia,Roald Dahl
Orange,8,248,Fiction/modern,Minimalist,Kerouac
Blue 1,8.25,112,Nonfiction/essay,Affectionate,Natalia Ginzburg
White,8.5,146,Fiction/contemporary ,Cringestalgia,
Black,8.5,230,Nonfiction/essay,Excited,Bell hooks
White,8.5,304,Nonfiction/essay,Proud,
White,8,280,Nonfiction/autobiography,Introspective,
Multi,7.75,160,Fiction/contemporary ,Affectionate,
Brown 1,7.75,272,Nonfiction/autobiography ,Minimalist,
Blue 1,8,128,Books about books,Am,
Green 1,7.75,248,Fiction/modern classic,Ambivalent,
Multi,8,412,Nonfiction/autobiography,Wistful,
Black,8,178,Fiction/modern,Affectionate,Joyce Johnson
Black,8,422,Fiction/modern,Minimalist,
Multi,8,204,Nonfiction/essays,Ambivalent,
Gray,7.5,144,Fiction/contemporary ,Proud,
White,8,214,Fiction/modern classic,Minimalist,
Red 2,8,310,Fiction/contemporary,Proud,
Blue 1,8,146,Fiction/contemporary ,Crimgestalgia,
White,8,288,Fiction/modern,Minimalist,
Black,7.75,156,Fiction/modern classic,Affectionate,
Brown 1,9,248,Drama,Ambivalent,
Black,9,386,Fiction/modern,Wistful,
Green 2,9,352,Nonfiction/oral history,Wistful,
Black ,9,266,Nonfiction,Ambivalent,
White,8,160,Fiction/modern,Excited,
Gray,8,370,Nonfiction/essay,Introspective,E.B. White
Blue 2,8,248,Fiction/contempoary,Wistful ,
Brown 2,8,252,Fiction/modern classic,Wistful,
